image_path,filename,acne,blackheads,dark spots,dryness,normal,oily,pores,wrinkles
data/raw_images/dataset\acne\1821_JPG.rf.68913867afcf1a5ff0655f4d4019a0b7.jpg,1821_JPG.rf.68913867afcf1a5ff0655f4d4019a0b7.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\182_JPG.rf.c0fc3adca6deac981b6332570f17a63e.jpg,182_JPG.rf.c0fc3adca6deac981b6332570f17a63e.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\18_jpg.rf.837d5ad70cc44b09afc585209ee67c7e.jpg,18_jpg.rf.837d5ad70cc44b09afc585209ee67c7e.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\19280a95363d065b1dfbc654e28530291-Copy_jpg.rf.9e24b2a7e2726cddf0fa7ea5b08bc356.jpg,19280a95363d065b1dfbc654e28530291-Copy_jpg.rf.9e24b2a7e2726cddf0fa7ea5b08bc356.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\19280a95363d065b1dfbc654e2853029_jpg.rf.5b280992c4ebcf58a7a890ea191ea6ba.jpg,19280a95363d065b1dfbc654e2853029_jpg.rf.5b280992c4ebcf58a7a890ea191ea6ba.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\1rlnayp9x3n21111_png.rf.20b1219f5ed6a7411373ac5d88fb62dc.jpg,1rlnayp9x3n21111_png.rf.20b1219f5ed6a7411373ac5d88fb62dc.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\1rlnayp9x3n2111_png.rf.5696c407589f8c6294a95d4cbbd246c5.jpg,1rlnayp9x3n2111_png.rf.5696c407589f8c6294a95d4cbbd246c5.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\1_png.rf.a19e4ebfd42cd7a65f9794a941585f85.jpg,1_png.rf.a19e4ebfd42cd7a65f9794a941585f85.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-1-1-1-Copy_jpg.rf.639a7a8ecbcbbde920242bf78ac117d7.jpg,2-1-1-1-Copy_jpg.rf.639a7a8ecbcbbde920242bf78ac117d7.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-1-11_jpg.rf.71eb40e0105ddf456eb3adf4e24e7eba.jpg,2-1-11_jpg.rf.71eb40e0105ddf456eb3adf4e24e7eba.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-1-11_png.rf.75c2b72c2a700885f861e719f33d1120.jpg,2-1-11_png.rf.75c2b72c2a700885f861e719f33d1120.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-1-_jpg.rf.5154b1dff60fc86febd0668e35d217ff.jpg,2-1-_jpg.rf.5154b1dff60fc86febd0668e35d217ff.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-1-_png.rf.4cd4a653169fb6a4064c4194708b3bc7.jpg,2-1-_png.rf.4cd4a653169fb6a4064c4194708b3bc7.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-12-11_jpeg.rf.e0d7e104304709b684779dd3837094b6.jpg,2-12-11_jpeg.rf.e0d7e104304709b684779dd3837094b6.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-12-1_jpeg.rf.1343f1f101f50219d150e133c51353ae.jpg,2-12-1_jpeg.rf.1343f1f101f50219d150e133c51353ae.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-12-1_jpg.rf.f5c97b6243c7f86dd5ebe16bbe3ba88a.jpg,2-12-1_jpg.rf.f5c97b6243c7f86dd5ebe16bbe3ba88a.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-12-_jpeg.rf.f0c6e8dd785177d87877848560a534aa.jpg,2-12-_jpeg.rf.f0c6e8dd785177d87877848560a534aa.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-12-_jpg.rf.b889c72b8ab770fdabfbca5906fb3733.jpg,2-12-_jpg.rf.b889c72b8ab770fdabfbca5906fb3733.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-13-111_jpeg.rf.6218afa39f90a14e03652261902a056b.jpg,2-13-111_jpeg.rf.6218afa39f90a14e03652261902a056b.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-13-11_jpg.rf.c49837db116e1db25f977675dc525852.jpg,2-13-11_jpg.rf.c49837db116e1db25f977675dc525852.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-13-1_jpeg.rf.d21772dc961c8845b97e976df32c1cf9.jpg,2-13-1_jpeg.rf.d21772dc961c8845b97e976df32c1cf9.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-13-_jpeg.rf.9dd0ce31c90e6a51a6b06b1549273e01.jpg,2-13-_jpeg.rf.9dd0ce31c90e6a51a6b06b1549273e01.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-13-_jpg.rf.9a6a9de190305f3f500964d7b300eb96.jpg,2-13-_jpg.rf.9a6a9de190305f3f500964d7b300eb96.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-2-1_jpg.rf.317825be480c904cb4a96ff15dd55c39.jpg,2-2-1_jpg.rf.317825be480c904cb4a96ff15dd55c39.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-2-_jpg.rf.a361de8bf87dbbac69c9a8885b2bd825.jpg,2-2-_jpg.rf.a361de8bf87dbbac69c9a8885b2bd825.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-3-1_jpg.rf.5f7ad94e271aed632dfb030b4068c26d.jpg,2-3-1_jpg.rf.5f7ad94e271aed632dfb030b4068c26d.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-4-1_jpg.rf.bc6c45f926b3fe3d903532b79bf8916b.jpg,2-4-1_jpg.rf.bc6c45f926b3fe3d903532b79bf8916b.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-4-_jpg.rf.9a77cbeb4a1544657d33d9dbe0c9df95.jpg,2-4-_jpg.rf.9a77cbeb4a1544657d33d9dbe0c9df95.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-5-1_jpg.rf.dd09739d05f2d80b97c4f69c68d1a4be.jpg,2-5-1_jpg.rf.dd09739d05f2d80b97c4f69c68d1a4be.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-5-_jpeg.rf.563b063a79f28b84e1dcfae5a5bd5b28.jpg,2-5-_jpeg.rf.563b063a79f28b84e1dcfae5a5bd5b28.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-5-_jpg.rf.34ae3a6fe0f4e3ebd2f13c51c01e34a7.jpg,2-5-_jpg.rf.34ae3a6fe0f4e3ebd2f13c51c01e34a7.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-51-_jpg.rf.cb0d44563149d1e79fba4b7b95ba4d41.jpg,2-51-_jpg.rf.cb0d44563149d1e79fba4b7b95ba4d41.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-52-1-Copy_jpg.rf.9c22b289c7c4b63080194d1a65f1df98.jpg,2-52-1-Copy_jpg.rf.9c22b289c7c4b63080194d1a65f1df98.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-52-_jpg.rf.9d9edc326f181d1a7e75c64244cd80c6.jpg,2-52-_jpg.rf.9d9edc326f181d1a7e75c64244cd80c6.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-53-1-Copy_jpg.rf.c31b584a28da2bd64cbb9502a78ae232.jpg,2-53-1-Copy_jpg.rf.c31b584a28da2bd64cbb9502a78ae232.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-53-_jpg.rf.e554fe11fb448e5decefe498e7915d32.jpg,2-53-_jpg.rf.e554fe11fb448e5decefe498e7915d32.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-6-1_jpg.rf.0a60a83dbde2fec2b4b93817010f3444.jpg,2-6-1_jpg.rf.0a60a83dbde2fec2b4b93817010f3444.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-6-_jpg.rf.f0b89be8c351bc1c099bff2b076041b4.jpg,2-6-_jpg.rf.f0b89be8c351bc1c099bff2b076041b4.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-7-1_jpg.rf.677669f9cfe857722c881699d6b16910.jpg,2-7-1_jpg.rf.677669f9cfe857722c881699d6b16910.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-7-_jpg.rf.76093b840421e12c1d89ae0d21d06303.jpg,2-7-_jpg.rf.76093b840421e12c1d89ae0d21d06303.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-8-1_jpeg.rf.2f32fc22766386b1dd5fbab0f2770056.jpg,2-8-1_jpeg.rf.2f32fc22766386b1dd5fbab0f2770056.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2-8-_jpeg.rf.3e4604d8369143c50501d7468bd6b2ad.jpg,2-8-_jpeg.rf.3e4604d8369143c50501d7468bd6b2ad.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\20150721042601_primary1-Copy_jpg.rf.faaf74cf63adfc5ee18867e9121de515.jpg,20150721042601_primary1-Copy_jpg.rf.faaf74cf63adfc5ee18867e9121de515.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\20150721042601_primary_jpg.rf.0f297888a84cd058a62c7e9b72ebac5b.jpg,20150721042601_primary_jpg.rf.0f297888a84cd058a62c7e9b72ebac5b.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\20181225_191537-jpg-923b0605b45be754fbbed9051a9bea5e1-Copy_jpg.rf.c523837f52940133cc454a427cc5ec74.jpg,20181225_191537-jpg-923b0605b45be754fbbed9051a9bea5e1-Copy_jpg.rf.c523837f52940133cc454a427cc5ec74.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\20190716_191036-jpg-705bf02f23326951059a91a967959d071_jpg.rf.39a8c7da2dabb4efcdf0fd57406ab5b5.jpg,20190716_191036-jpg-705bf02f23326951059a91a967959d071_jpg.rf.39a8c7da2dabb4efcdf0fd57406ab5b5.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\20190716_191036-jpg-705bf02f23326951059a91a967959d07_jpg.rf.09b13754193684c6214294e7b0d5de5d.jpg,20190716_191036-jpg-705bf02f23326951059a91a967959d07_jpg.rf.09b13754193684c6214294e7b0d5de5d.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2058411_jpg.rf.41b83d8f93ed6dbc79580635c578e59c.jpg,2058411_jpg.rf.41b83d8f93ed6dbc79580635c578e59c.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\205841_jpg.rf.a52dded171ba7ff208443fe10feaf66c.jpg,205841_jpg.rf.a52dded171ba7ff208443fe10feaf66c.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2063533_nintchdbpict000580154756_15883143441_jpg.rf.0b7556ebe654549785899443a635f351.jpg,2063533_nintchdbpict000580154756_15883143441_jpg.rf.0b7556ebe654549785899443a635f351.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\20_before1-Copy_jpg.rf.43c49f9665723a69391c203a6e90c6a6.jpg,20_before1-Copy_jpg.rf.43c49f9665723a69391c203a6e90c6a6.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\20_before_jpg.rf.0478718f9de96b38c126b0cea2595350.jpg,20_before_jpg.rf.0478718f9de96b38c126b0cea2595350.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\20_jpeg.rf.45f1c3ccd516de01ee75ed24be26c8c5.jpg,20_jpeg.rf.45f1c3ccd516de01ee75ed24be26c8c5.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\21_png.rf.e46be5f8e92e01ebba3f1e1ab77d09d9.jpg,21_png.rf.e46be5f8e92e01ebba3f1e1ab77d09d9.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\22_png.rf.121b5ef14d83cf882d4b97562dd28c2d.jpg,22_png.rf.121b5ef14d83cf882d4b97562dd28c2d.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2327210_jpg.rf.d80da748f6bcea859cf1e4e8695d5f3b.jpg,2327210_jpg.rf.d80da748f6bcea859cf1e4e8695d5f3b.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\23_jpg.rf.5aa1b34d03e3e7b2e24d6c01976668eb.jpg,23_jpg.rf.5aa1b34d03e3e7b2e24d6c01976668eb.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\241b000fa0e0caf8cf8ac4b29137af481-Copy_jpg.rf.6a8f474f7e96ac95f8f0bfa8fa7b37cb.jpg,241b000fa0e0caf8cf8ac4b29137af481-Copy_jpg.rf.6a8f474f7e96ac95f8f0bfa8fa7b37cb.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\241b000fa0e0caf8cf8ac4b29137af48_jpg.rf.5933046bd979feaac72d4b77fd591e8b.jpg,241b000fa0e0caf8cf8ac4b29137af48_jpg.rf.5933046bd979feaac72d4b77fd591e8b.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\24_jpg.rf.97c7068287f9328390755f18a85f197f.jpg,24_jpg.rf.97c7068287f9328390755f18a85f197f.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\25_jpg.rf.252f9832ded21f1c07e421da72cb2e0a.jpg,25_jpg.rf.252f9832ded21f1c07e421da72cb2e0a.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2652__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDBd_jpg.rf.82f7860d9c18305106976e8c5aff80cc.jpg,2652__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDBd_jpg.rf.82f7860d9c18305106976e8c5aff80cc.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\26_jpg.rf.7baeaeb35245aef6513434c079e59794.jpg,26_jpg.rf.7baeaeb35245aef6513434c079e59794.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\27_jpg.rf.cca5f377c7847a2c9cbb1c943ccc19a3.jpg,27_jpg.rf.cca5f377c7847a2c9cbb1c943ccc19a3.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\28_png.rf.ddcd465dcee6823c1c9aba5e805fa7c0.jpg,28_png.rf.ddcd465dcee6823c1c9aba5e805fa7c0.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\29_png.rf.d787a620bd928fa3eb56e1e44b694d1d.jpg,29_png.rf.d787a620bd928fa3eb56e1e44b694d1d.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2ff3b83bb9bdfec054e2c2273f02c8c6-Copy_jpg.rf.a993d41026cf9d29092759ffeb1f7858.jpg,2ff3b83bb9bdfec054e2c2273f02c8c6-Copy_jpg.rf.a993d41026cf9d29092759ffeb1f7858.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\2_png.rf.2254a9672a54a830f5b6dac47032454b.jpg,2_png.rf.2254a9672a54a830f5b6dac47032454b.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\30_jpg.rf.aaee5917fec77a9c9f9405ecb09dcf38.jpg,30_jpg.rf.aaee5917fec77a9c9f9405ecb09dcf38.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\31_jpg.rf.0f63a5d1ba517fc744f2ea17b575b7a1.jpg,31_jpg.rf.0f63a5d1ba517fc744f2ea17b575b7a1.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\32-1536x615_png.rf.d56139d9f6474518ba92802a9fa65bb6.jpg,32-1536x615_png.rf.d56139d9f6474518ba92802a9fa65bb6.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\32212176-8650569-image-a-10_1598002142635111-Copy_jpg.rf.5cd1eb9e42ab0124b344c77049713b9b.jpg,32212176-8650569-image-a-10_1598002142635111-Copy_jpg.rf.5cd1eb9e42ab0124b344c77049713b9b.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\32212176-8650569-image-a-10_15980021426351_jpg.rf.050e01aef9ff9cc250fe1f40f8c5743b.jpg,32212176-8650569-image-a-10_15980021426351_jpg.rf.050e01aef9ff9cc250fe1f40f8c5743b.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\32212176-8650569-image-a-10_1598002142635_jpg.rf.2a5d1064772de3981a1699ac6abd7fbb.jpg,32212176-8650569-image-a-10_1598002142635_jpg.rf.2a5d1064772de3981a1699ac6abd7fbb.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\32_jpg.rf.71818f7a346521c5e05f9cee0b049403.jpg,32_jpg.rf.71818f7a346521c5e05f9cee0b049403.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\33_jpg.rf.be2de578ea7bace0aa837a9b675aa8f7.jpg,33_jpg.rf.be2de578ea7bace0aa837a9b675aa8f7.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\34_jpg.rf.655c8e5737eb8ff6777826be70c1153f.jpg,34_jpg.rf.655c8e5737eb8ff6777826be70c1153f.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\353492fd44963e8f0f4e7ea4697aed7e1-Copy_jpg.rf.7404893fdf196322fbb0d2368b3103d8.jpg,353492fd44963e8f0f4e7ea4697aed7e1-Copy_jpg.rf.7404893fdf196322fbb0d2368b3103d8.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\353492fd44963e8f0f4e7ea4697aed7e_jpg.rf.dce509a6b31be9d6217546e7afef1ab8.jpg,353492fd44963e8f0f4e7ea4697aed7e_jpg.rf.dce509a6b31be9d6217546e7afef1ab8.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\35_jpg.rf.3ffcdce16efc84e64d5f98c0f458ea3c.jpg,35_jpg.rf.3ffcdce16efc84e64d5f98c0f458ea3c.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\362f516bc2be4f01904fb2950eb700f41_png.rf.20d0cbac43ba0d8c81d896d6590dd094.jpg,362f516bc2be4f01904fb2950eb700f41_png.rf.20d0cbac43ba0d8c81d896d6590dd094.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\362f516bc2be4f01904fb2950eb700f4_png.rf.122e94851249a2465147ae7c4e13a2ba.jpg,362f516bc2be4f01904fb2950eb700f4_png.rf.122e94851249a2465147ae7c4e13a2ba.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\36_jpg.rf.2da2173c454b988a2359536a8895c306.jpg,36_jpg.rf.2da2173c454b988a2359536a8895c306.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\39_jpg.rf.92669638a3120f09dec3905e0fa5790c.jpg,39_jpg.rf.92669638a3120f09dec3905e0fa5790c.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\40279_2013_22_Fig4_HTML1_jpg.rf.624e7d8285a84c1365640304a9628e8e.jpg,40279_2013_22_Fig4_HTML1_jpg.rf.624e7d8285a84c1365640304a9628e8e.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\40279_2013_22_Fig4_HTML_jpg.rf.571e7733ba7868494dfe1a5d923e7c6c.jpg,40279_2013_22_Fig4_HTML_jpg.rf.571e7733ba7868494dfe1a5d923e7c6c.jpg,1,0,0,0,0,0,0,0
data/raw_images/dataset\acne\40_19hJvhBaJyf8eJwT__jpg.rf.0301d736e08303160af3a0c01913f28a.jpg,40_19hJvhBaJyf8eJwT__jpg.rf.0301d736e08303160af3a0c01913f28a.jpg,1,0,0,0,0,0,0,0
